Checking process _PAT  /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre3/slc7_amd64_gcc900/23434.21/step4.root.unused and /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre4/slc7_amd64_gcc900/23434.21/step4.root.unused:
       oldB    newB  deltaB  delta% deltaJ%                                                                     name
0    126299  126225 -74     -0.1     -0.03   patPackedCandidates_packedPFCandidates__PAT.                           
44   186     186     0       0.0      0.00   recoGenJets_slimmedGenJetsAK8SoftDropSubJets__PAT.                     
45   181     181     0       0.0      0.00   recoJetFlavourInfoMatchingCollection_slimmedGenJetsFlavourInfos__PAT.  
46   146     146     0       0.0      0.00   recoCaloClusters_reducedEgamma_reducedESClusters_PAT.                  
47   143     143     0       0.0      0.00   EcalRecHitsSorted_reducedEgamma_reducedEERecHits_PAT.                  
48   128     129     0       0.4      0.00   l1tEtSumBXVector_caloStage2Digis_EtSum_RECO.                           
49   107     105    -2      -1.9     -0.00   GlobalAlgBlkBXVector_gtStage2Digis__RECO.                              
50   107     84     -23     -24.2    -0.01   CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__PAT.                    
51   102     75     -27     -30.2    -0.01   DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__PAT.             
52   101     131     30      25.5     0.01   recoConversions_reducedEgamma_reducedConversions_PAT.                  
53   100     95     -5      -5.6     -0.00   l1tMuonBXVector_gmtStage2Digis_Muon_RECO.                              
54   95      102     7       6.7      0.00   recoDeDxHitInfos_isolatedTracks__PAT.                                  
55   94      92     -3      -3.0     -0.00   recoBaseTagInfosOwned_slimmedJets_tagInfos_PAT.                        
56   62      61     -2      -2.5     -0.00   recoGsfElectronCores_reducedEgamma_reducedGedGsfElectronCores_PAT.     
57   56      56      0       0.0      0.00   GlobalExtBlkBXVector_gtStage2Digis__RECO.                              
58   47      48      1       1.5      0.00   recoDeDxHitInfosedmAssociation_isolatedTracks__PAT.                    
59   43      42     -1      -3.4     -0.00   recoPhotonCores_reducedEgamma_reducedGedPhotonCores_PAT.               
60   38      37     -1      -1.5     -0.00   recoConversions_reducedEgamma_reducedSingleLegConversions_PAT.         
61   36      36      0       0.0      0.00   recoBeamSpot_offlineBeamSpot__RECO.                                    
62   34      34      0       0.0      0.00   l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.                    
63   34      34      0      -1.1     -0.00   recoCSCHaloData_CSCHaloData__RECO.                                     
64   34      34      0       0.0      0.00   double_fixedGridRhoFastjetCentralChargedPileUp__RECO.                  
65   34      34      0       0.0      0.00   l1extraL1EtMissParticles_l1extraParticles_MET_RECO.                    
66   33      33      0       0.0      0.00   double_fixedGridRhoFastjetCentralNeutral__RECO.                        
67   32      32      0       0.0      0.00   double_fixedGridRhoFastjetCentral__RECO.                               
68   32      32      0       0.0      0.00   double_fixedGridRhoFastjetAllTmp__RECO.                                
69   32      32      0       0.0      0.00   double_fixedGridRhoFastjetAllCalo__RECO.                               
70   32      32      0       0.0      0.00   HBHERecHitsSorted_slimmedHcalRecHits_reducedHcalRecHits_PAT.           
71   32      32      0       0.0      0.00   double_fixedGridRhoFastjetCentralCalo__RECO.                           
72   31      38      7       19.4     0.00   recoConversions_gsfTracksOpenConversions_gsfTracksOpenConversions_RECO.
73   31      31      0       0.0      0.00   HORecHitsSorted_slimmedHcalRecHits_reducedHcalRecHits_PAT.             
74   31      31      0       0.0      0.00   HFRecHitsSorted_slimmedHcalRecHits_reducedHcalRecHits_PAT.             
75   31      31      0       0.0      0.00   double_fixedGridRhoFastjetAll__RECO.                                   
76   30      30      0      -0.5     -0.00   edmTriggerResults_TriggerResults__PAT.                                 
77   30      31      0       1.0      0.00   recoBeamHaloSummary_BeamHaloSummary__RECO.                             
78   30      30      0       0.0      0.00   recoCaloClusters_reducedEgamma_reducedOOTEBEEClusters_PAT.             
79   30      30      0       0.0      0.00   recoSuperClusters_reducedEgamma_reducedOOTSuperClusters_PAT.           
80   29      29      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Central_RECO.                   
81   29      29      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Forward_RECO.                   
82   29      29      0       0.0      0.00   l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.                
83   29      29      0       0.0      0.00   patPackedTriggerPrescales_patTrigger_l1max_PAT.                        
84   29      29      0       0.0      0.00   recoCaloClusters_reducedEgamma_reducedOOTESClusters_PAT.               
85   29      29      0       0.0      0.00   recoPhotonCores_reducedEgamma_reducedOOTPhotonCores_PAT.               
86   29      29      0       0.0      0.00   CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.                
87   29      29      0       0.0      0.00   patPackedTriggerPrescales_patTrigger_l1min_PAT.                        
88   29      29      0       0.0      0.00   l1extraL1EmParticles_l1extraParticles_Isolated_RECO.                   
89   29      29      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.                    
90   28      28      0       0.0      0.00   l1extraL1MuonParticles_l1extraParticles__RECO.                         
91   28      28      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Tau_RECO.                       
92   28      28      0       0.0      0.00   recoForwardProtons_ctppsProtons_multiRP_RECO.                          
93   28      28      0       0.0      0.00   edmTriggerResults_TriggerResults__RECO.                                
94   28      28      0       0.0      0.00   recoForwardProtons_ctppsProtons_singleRP_RECO.                         
95   28      28      0       0.0      0.00   patPackedTriggerPrescales_patTrigger__PAT.                             
96   28      28      0       0.0      0.00   l1extraL1HFRingss_l1extraParticles__RECO.                              
97   28      28      0       0.0      0.00   L1GlobalTriggerReadoutRecord_gtDigis__RECO.                            
98   27      27      0       0.0      0.00   Strings_slimmedPatTrigger_filterLabels_PAT.                            
99   27      27      0      -0.3     -0.00   double_fixedGridRhoAll__RECO.                                          
100  26      26      0       0.0      0.00   patPhotons_slimmedOOTPhotons__PAT.                                     
101  26      26      0       0.0      0.00   LumiScalerss_scalersRawToDigi__RECO.                                   
102  24      24      0       0.0      0.00   uint_bunchSpacingProducer__PAT.                                        
 ========= Summary ================================
       oldB    newB  deltaB  delta%          name
103  266247  264397   -1850    -0.7   ALLBRANCHES
