Checking process _PAT  /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre1/slc7_amd64_gcc900/23434.21/step4.root.unused and /eos/cms/store/user/cmsbuild/profiling/data/CMSSW_11_3_0_pre2/slc7_amd64_gcc900/23434.21/step4.root.unused:
       oldB    newB  deltaB  delta% deltaJ%                                                                     name
0    125119  122504 -2615   -2.1     -1.00   patPackedCandidates_packedPFCandidates__PAT.                           
51   106     103    -2      -2.3     -0.00   GlobalAlgBlkBXVector_gtStage2Digis__RECO.                              
52   97      86     -11     -11.9    -0.00   l1tMuonBXVector_gmtStage2Digis_Muon_RECO.                              
53   89      91      2       1.8      0.00   recoBaseTagInfosOwned_slimmedJets_tagInfos_PAT.                        
54   87      92      6       6.2      0.00   CSCDetIdCSCSegmentsOwnedRangeMap_slimmedMuons__PAT.                    
55   64      65      0       0.6      0.00   recoGsfElectronCores_reducedEgamma_reducedGedGsfElectronCores_PAT.     
56   61      79      18      26.0     0.01   DTChamberIdDTRecSegment4DsOwnedRangeMap_slimmedMuons__PAT.             
57   56      56      0       0.0      0.00   GlobalExtBlkBXVector_gtStage2Digis__RECO.                              
58   48      42     -7      -14.5    -0.00   recoConversions_gsfTracksOpenConversions_gsfTracksOpenConversions_RECO.
59   44      45      1       2.3      0.00   recoPhotonCores_reducedEgamma_reducedGedPhotonCores_PAT.               
60   37      26     -11     -34.6    -0.00   patPhotons_slimmedOOTPhotons__PAT.                                     
61   37      37      0      -0.3     -0.00   recoDeDxHitInfosedmAssociation_isolatedTracks__PAT.                    
62   36      36      0       0.0      0.00   recoBeamSpot_offlineBeamSpot__RECO.                                    
63   34      34      0      -0.1     -0.00   double_fixedGridRhoFastjetCentralChargedPileUp__RECO.                  
64   34      34      0       0.0      0.00   l1extraL1EtMissParticles_l1extraParticles_MHT_RECO.                    
65   34      34      0       0.0      0.00   l1extraL1EtMissParticles_l1extraParticles_MET_RECO.                    
66   34      33     -1      -3.0     -0.00   recoConversions_reducedEgamma_reducedSingleLegConversions_PAT.         
67   33      33      0       0.0      0.00   double_fixedGridRhoFastjetCentralNeutral__RECO.                        
68   32      32      0       0.0      0.00   double_fixedGridRhoFastjetCentral__RECO.                               
69   32      34      1       4.0      0.00   recoCSCHaloData_CSCHaloData__RECO.                                     
70   32      32      0       0.0      0.00   double_fixedGridRhoFastjetAllCalo__RECO.                               
71   32      32      0       0.0      0.00   HBHERecHitsSorted_slimmedHcalRecHits_reducedHcalRecHits_PAT.           
72   32      30     -2      -6.6     -0.00   recoSuperClusters_reducedEgamma_reducedOOTSuperClusters_PAT.           
73   32      32      0       0.0      0.00   double_fixedGridRhoFastjetCentralCalo__RECO.                           
74   32      32      0       0.0      0.00   double_fixedGridRhoFastjetAllTmp__RECO.                                
75   31      31      0       0.0      0.00   HORecHitsSorted_slimmedHcalRecHits_reducedHcalRecHits_PAT.             
76   31      31      0       0.0      0.00   HFRecHitsSorted_slimmedHcalRecHits_reducedHcalRecHits_PAT.             
77   31      31      0       0.0      0.00   double_fixedGridRhoFastjetAll__RECO.                                   
78   31      30     -2      -6.3     -0.00   recoCaloClusters_reducedEgamma_reducedOOTEBEEClusters_PAT.             
79   30      31      1       2.4      0.00   recoBeamHaloSummary_BeamHaloSummary__RECO.                             
80   30      29     -1      -1.8     -0.00   recoPhotonCores_reducedEgamma_reducedOOTPhotonCores_PAT.               
81   29      29      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Central_RECO.                   
82   29      29      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Forward_RECO.                   
83   29      29      0       0.3      0.00   edmTriggerResults_TriggerResults__PAT.                                 
84   29      29      0       0.0      0.00   l1extraL1EmParticles_l1extraParticles_NonIsolated_RECO.                
85   29      29      0       0.0      0.00   patPackedTriggerPrescales_patTrigger_l1max_PAT.                        
86   29      29      0       0.0      0.00   recoCaloClusters_reducedEgamma_reducedOOTESClusters_PAT.               
87   29      29      0       0.0      0.00   CTPPSLocalTrackLites_ctppsLocalTrackLiteProducer__RECO.                
88   29      29      0       0.0      0.00   patPackedTriggerPrescales_patTrigger_l1min_PAT.                        
89   29      29      0       0.0      0.00   l1extraL1EmParticles_l1extraParticles_Isolated_RECO.                   
90   29      29      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_IsoTau_RECO.                    
91   28      28      0       0.0      0.00   l1extraL1MuonParticles_l1extraParticles__RECO.                         
92   28      28      0       0.0      0.00   l1extraL1JetParticles_l1extraParticles_Tau_RECO.                       
93   28      28      0       0.0      0.00   edmTriggerResults_TriggerResults__RECO.                                
94   28      28      0       0.0      0.00   recoForwardProtons_ctppsProtons_singleRP_RECO.                         
95   28      28      0       0.0      0.00   l1extraL1HFRingss_l1extraParticles__RECO.                              
96   28      28      0       0.0      0.00   patPackedTriggerPrescales_patTrigger__PAT.                             
97   28      28      0       0.0      0.00   L1GlobalTriggerReadoutRecord_gtDigis__RECO.                            
98   28      28      0       0.0      0.00   recoForwardProtons_ctppsProtons_multiRP_RECO.                          
99   27      27      0       0.0      0.00   Strings_slimmedPatTrigger_filterLabels_PAT.                            
100  27      27      0      -0.1     -0.00   double_fixedGridRhoAll__RECO.                                          
101  26      26      0       0.0      0.00   LumiScalerss_scalersRawToDigi__RECO.                                   
102  24      24      0       0.0      0.00   uint_bunchSpacingProducer__PAT.                                        
 ========= Summary ================================
       oldB    newB  deltaB  delta%          name
103  262110  257293   -4817    -1.8   ALLBRANCHES
